Component_Name,Category,Price_INR,Efficiency,Reliability,Compatibility,Role
Carrier Smart Thermostat,HVAC,9270,7.82,8.56,"HomeKit, Google Home, Matter",Humidity control
Honeywell HVAC Zoning System,HVAC,8191,7.22,8.07,"HomeKit, Google Home, Matter",Ventilation management
Philips Hue Floor Lamp,Lighting,1573,6.48,6.32,"Wi-Fi, HomeKit",Automated lighting
Abode Smoke Detector,Security,5444,7.96,6.67,"Wi-Fi, HomeKit",Door security
Cree Outdoor Light,Lighting,2485,7.17,6.75,"HomeKit, Alexa",Circadian rhythm lighting
Lutron Battery System,Energy Management,8749,10.0,9.83,"HomeKit, Alexa",Power management
Abode Alarm System,Security,10146,7.95,7.78,"Wi-Fi, HomeKit",Door security
Honeywell Dehumidifier,HVAC,11274,8.53,9.17,"Wi-Fi, HomeKit",Energy-efficient heating
Emerson Heater,HVAC,4747,6.18,5.96,"HomeKit, Google Home, Matter",Climate control
SimpliSafe Security Camera,Security,6484,7.02,7.22,"Wi-Fi, Google Home, Alexa",Safety monitoring
Blink Smoke Detector,Security,3267,6.5,5.78,"Zigbee, Z-Wave",Intrusion detection
SimpliSafe Security Camera,Security,7640,7.73,7.72,"Z-Wave, Alexa",Intrusion detection
Kwikset Smoke Detector,Security,7393,7.63,7.35,"Thread, Matter",Access control
Daikin Ventilation Controller,HVAC,5612,6.46,6.71,"Wi-Fi, Google Home, Alexa",Zoned climate control
Nest Ceiling Fan,HVAC,10738,8.55,9.18,"HomeKit, Google Home, Matter",Zoned climate control
SolarEdge Energy Gateway,Energy Management,5214,8.65,7.21,"Wi-Fi, Bluetooth",Load balancing
Kangaroo Smart Safe,Security,4085,6.44,6.33,"Google Home, Alexa, Matter",Intrusion detection
Abode Flood Sensor,Security,5461,7.46,6.03,"Wi-Fi, Google Home, Alexa",Asset protection
August Window Sensor,Security,3913,7.19,6.5,"HomeKit, Google Home, Matter",Remote surveillance
GE Under Cabinet Light,Lighting,5351,9.38,9.8,"Google Home, Alexa, Matter",Decorative lighting
Kangaroo CO Detector,Security,8439,8.35,7.6,"Thread, Matter",Access control
Lutron Smart Plug,Energy Management,2078,7.21,6.27,"Wi-Fi, HomeKit",Renewable integration
Wyze Security Camera,Security,8609,7.61,7.67,"Zigbee, Matter",Intrusion detection
Leviton Grid Tie Inverter,Energy Management,6476,9.6,8.47,"Z-Wave, Alexa",Consumption tracking
Yeelight Under Cabinet Light,Lighting,5314,8.7,8.88,"HomeKit, Google Home, Matter",Automated lighting
Ecobee Ventilation Controller,HVAC,11112,8.62,9.99,"HomeKit, Google Home, Matter",Zoned climate control
ADT Facial Recognition Camera,Security,6854,7.65,6.77,"HomeKit, Google Home, Matter",Safety monitoring
Emporia Power Strip,Energy Management,7047,10.0,9.02,"Wi-Fi, HomeKit",Energy optimization
Sense Load Controller,Energy Management,9954,10.0,10.0,"Zigbee, Matter",Consumption tracking
Leviton Energy Monitor,Energy Management,6781,9.69,8.58,"Wi-Fi, Google Home, Alexa",Demand response
Schneider Power Optimizer,Energy Management,1702,7.21,6.23,"Zigbee, Z-Wave",Renewable integration
Rheem Heater,HVAC,6488,6.82,7.4,"HomeKit, Alexa",Allergen reduction
Ring Alarm System,Security,13132,8.91,9.71,"HomeKit, Google Home, Matter",Safety monitoring
Daikin Smart Thermostat,HVAC,8019,7.52,8.01,"Thread, Matter",Climate control
Eve Power Strip,Energy Management,8092,9.53,9.09,"Zigbee, Matter",Renewable integration
Reolink Motion Sensor,Security,8668,8.14,7.35,"Wi-Fi, HomeKit",Safety monitoring
Lutron Smart Switch,Energy Management,4357,8.53,7.39,"Wi-Fi, Bluetooth",Power management
Kangaroo Glass Break Detector,Security,3597,7.17,5.95,"Wi-Fi, Bluetooth",Door security
Wemo Power Strip,Energy Management,6347,9.14,7.72,"Wi-Fi, HomeKit",Demand response
Eve Power Strip,Energy Management,3181,8.44,6.57,"HomeKit, Alexa",Load balancing
Eufy Glass Break Detector,Security,7592,7.64,7.03,"Zigbee, Matter",Access control
Curb Power Strip,Energy Management,6696,8.93,8.01,"HomeKit, Google Home, Matter",Power management
TP-Link Energy Display,Energy Management,1909,6.26,5.97,"Thread, Matter",Power management
Juicebox Energy Monitor,Energy Management,4948,8.24,7.7,"Zigbee, Matter",Energy optimization
Tesla Smart Plug,Energy Management,2050,7.32,6.56,"Zigbee, Z-Wave",Demand response
Curb Power Optimizer,Energy Management,6927,8.73,8.82,"Google Home, Alexa, Matter",Renewable integration
Span Power Optimizer,Energy Management,3053,7.82,5.95,"HomeKit, Alexa",Consumption tracking
Nest Smart Lock,Security,10869,8.67,8.65,"Z-Wave, Alexa",Emergency detection
Tado Ventilation Controller,HVAC,8855,7.82,8.33,"Thread, Matter",Temperature regulation
Sengled Ceiling Light,Lighting,5972,9.62,9.48,"Zigbee, Matter",Ambiance management
Yale Doorbell Camera,Security,9285,8.09,7.72,"Wi-Fi, Bluetooth",Door security
Logitech CO Detector,Security,5255,7.59,6.11,"Google Home, Alexa, Matter",Access control
Carrier Ceiling Fan,HVAC,4327,6.46,6.42,"HomeKit, Alexa",Ventilation management
Mitsubishi Air Quality Monitor,HVAC,9125,7.64,8.37,"HomeKit, Google Home, Matter",Climate control
Sensibo Humidifier,HVAC,10800,8.59,8.66,"Google Home, Alexa, Matter",Climate control
